0,1,2,3,4,5
-18.714197,-9.063757,12.654589,7.1833963,7.0857368,12.232228
6.6650043,-10.742204,-1.2832903,-6.360824,-11.874818,11.774394
0.72223634,-1.1814268,19.62463,3.0809512,-15.333829,10.557045
6.2689457,-3.7403738,15.337726,10.465411,-3.042302,11.346081
-2.1800215,-7.36517,7.329899,6.3247404,-17.834122,5.703869
23.943115,-1.1211165,11.886265,16.11122,-9.091093,1.0889128
-1.0785041,-13.6198845,3.4297857,14.342731,2.8242004,11.255359
-0.7637559,-4.8019376,9.660671,0.45568874,-7.1761093,12.904918
-8.382242,-5.9540634,5.031657,6.8126493,-12.877334,19.423574
-11.342075,1.1960509,3.2555535,-9.642906,-15.669033,3.6680067
-50.698105,-64.735176,9.483112,-58.801144,-78.190506,22.225351
-3.1023715,-14.774587,1.1652697,7.9579043,-12.231062,5.9487615
23.589523,25.552307,4.7128987,-19.313631,42.671143,-49.55731
-2.8935301,-1.3542609,17.317604,14.253018,-7.100459,3.1934316
-6.2341056,1.8985193,9.471326,3.0568573,-15.819088,9.36531
-6.9159346,-1.3717909,5.0025434,-2.746428,-24.126122,2.1517632
-2.884582,-14.0540085,5.15032,4.7937193,-0.20536147,16.184391
9.9872265,-7.9727445,7.1258397,-3.7801971,-16.389544,1.1274445
0.41797513,-9.393106,8.213762,17.451002,-15.695384,-1.2818743
-0.90274775,18.111713,1.5247096,-26.462929,-0.6664741,2.9121082
0.21971361,-13.501595,16.290375,-9.115727,3.8635347,6.281974
-3.2771502,10.396845,11.815743,5.7155046,-8.092238,7.165827
-5.0676503,-7.214149,-6.4618607,5.8437076,-8.54215,10.032103
-2.7802076,-1.1662321,4.1205316,-23.331337,-1.0550615,6.3095436
-16.587757,-11.913077,5.044789,1.5560503,2.0567095,7.0380006
-1.1091712,10.699638,16.858889,1.2814573,1.2484188,5.3278065
2.8173935,1.4357221,2.432982,-4.211675,-8.539805,6.0714884
-12.04615,-3.8490229,0.38129124,-1.3004081,8.812693,20.436607
-0.48089814,-2.7657754,2.3199766,-2.2763357,-20.378899,12.13482
-10.785104,-8.485206,-4.331243,2.3784664,-19.997957,12.537492
-36.757652,-50.040432,107.29628,-6.0969124,32.323536,-74.719124
-0.070499875,-4.0080347,11.551667,-8.487274,-14.734889,5.721497
0.4571129,1.9614806,8.5238495,10.217195,-11.905043,14.248493
-4.5732493,-15.2289505,5.292249,-5.148019,-3.1463604,12.995366
1.1964527,-17.203932,13.3805065,-6.312149,-10.7193,-5.122838
-12.350453,-14.572256,9.832892,6.0670877,-9.787583,15.431498
2.39443,5.7851152,5.494753,5.439006,-15.91842,-0.12289879
15.807273,-31.645634,8.636123,-17.943264,-31.260063,-12.799027
-4.891707,-5.9861817,4.2705255,2.8590486,14.421566,6.2945037
-17.934996,-0.64653677,-8.661112,0.4885932,11.729719,12.15128
-1.5858123,-10.583513,4.158816,14.106332,-13.646546,12.037679
-9.478636,12.404288,4.0027766,2.5600216,-12.866495,10.468852
