0,1,2,3,4,5
3.543008,-52.837788,-64.431015,-98.087135,20.649752,29.27447
-5.726188,1.3432479,11.674642,4.68663,-19.662518,-0.821273
-18.171131,2.699284,12.618143,4.8113127,-8.259034,-11.740834
-3.3516898,-1.5871477,5.9352865,-22.24968,-4.527147,-3.9852326
-6.029963,-3.3857276,19.524654,-1.1899118,-4.679465,-9.390358
83.279755,-5.4482884,16.14876,4.2501817,-30.764582,-36.434727
-22.725096,-11.644673,8.007704,0.1282858,-4.449209,0.46706712
-10.03386,-3.4075217,6.513263,-9.495052,-1.1443322,-7.768238
-5.193626,-2.288847,18.45483,-14.805285,-4.249255,-4.76724
-6.752691,7.3608994,9.019461,-1.5167335,-2.2383213,0.29841134
24.31078,-21.954813,64.804245,-24.194714,-7.959234,-62.135437
20.671047,-2.4208424,-3.7496707,-8.916725,-16.350767,11.645485
-1.3097657,-4.760916,-24.372393,59.154476,-4.2123337,-20.959314
-0.28282788,11.901165,7.2931604,-9.079132,-2.1482122,-13.1568775
-213.3432,0.005000572,18.122572,-4.9484925,29.123957,0.57146525
-9.748579,-12.702944,13.903883,-2.335116,-12.485796,-6.4993305
-20.365871,-4.317993,8.746606,-7.5159893,0.20944157,1.88866
-1.7148882,-7.418515,4.948194,-12.404025,-9.637285,-16.10731
3.4942274,-10.109224,22.20424,-6.4705954,-10.760111,-3.2961733
-32.411816,0.13509312,51.261124,-6.278084,0.82872283,-15.565927
-11.378634,10.42276,4.1869264,2.5213006,10.500044,-0.88615173
-40.67288,-0.6734112,17.772081,-89.01969,-93.429,79.75789
-10.779805,9.798894,17.716,-1.3200533,-12.140416,2.2975755
-16.525965,-1.0692816,4.876684,0.5500548,16.408604,1.0861418
-13.875065,-10.7106695,10.76604,-2.4687152,12.104411,-2.8255131
10.112567,-0.49118572,18.482063,4.7670608,0.2897813,-10.197773
4.4614697,15.430764,11.933285,-0.3478504,-6.55507,-6.862726
-13.739481,0.023523983,7.0371146,11.317197,10.364245,-3.8163233
-4.4126906,-2.2089012,15.072746,-8.763145,-15.805632,0.21376644
-14.247646,-6.4843073,9.6799345,-14.786696,-10.652797,-0.6224875
28.523611,18.384588,91.503044,-79.84314,37.72453,30.357828
-4.1715145,-2.2493515,11.33016,-3.073207,-16.386066,-12.772996
-7.4242024,-4.245091,12.490978,-8.128683,-0.9101806,-19.09961
-16.567234,-4.591141,13.092825,-0.08142673,0.35024598,-4.309175
-10.855797,12.630918,2.0059881,-14.909953,-2.4652305,-15.0839815
-8.689626,6.9266944,16.643137,-9.466539,-1.2073141,-9.3696165
-6.7493834,1.5949559,7.789083,8.201624,-4.0538044,-14.565897
-7.6055303,-2.64066,-16.243073,-2.622819,19.430553,13.736013
-3.7840176,-5.649763,12.632839,2.5467625,17.463936,1.316343
-3.0917177,-17.849667,-5.6009054,-20.583984,29.811178,-15.473331
-1.2049584,-1.0494752,20.787985,-9.517204,-8.760117,-14.997446
6.0449886,-2.6525478,24.197676,-3.2384205,5.9922113,0.69950616
0.63256,-4.9355507,18.943674,-4.6096063,-30.186964,-8.009947
-7.690226,5.330613,10.028829,3.7812662,22.161495,-2.7535858
12.766213,-1.2349424,1.748312,-13.753645,3.6107357,-8.479542
-61.810303,-10.292129,-39.11663,48.18602,-19.303095,-92.9349
-9.57603,17.02483,2.4291408,15.538831,16.21641,11.626694
-14.914318,1.3365086,2.5794885,-1.6138567,8.826199,-8.531962
16.651644,1.7337337,5.9731736,-6.9433594,10.068449,-16.062578
-7.9973674,-0.7690185,10.664836,12.498417,12.267716,6.998499
-17.697407,3.5257304,12.657485,-10.779085,-6.7664776,-11.918761
-2.18012,6.135321,16.878826,6.605291,-2.8444855,-2.0316832
5.960651,10.7152605,11.0294,-11.4575,-7.7310243,1.371244
-6.013705,5.7789636,19.062654,-12.8476095,1.2213469,0.56529474
9.680952,13.310247,5.125221,6.5160403,12.182536,-2.1784377
1.2723209,-8.216812,12.346215,3.6524904,-4.4612055,-17.140547
-11.498107,-3.2111392,16.76325,8.400439,10.243513,-0.6257522
-13.066174,-14.900941,1.3012514,-7.674778,0.6460676,0.8884477
-9.609077,3.4778275,25.010561,-0.6877188,6.4806056,-1.4757612
-8.060674,-3.0185955,9.083494,0.32716173,7.295887,4.6374545
-13.02561,-2.8854663,-4.8485093,-2.1643572,-5.679684,-15.504629
-12.37082,-4.8070073,4.197972,1.4463657,-1.8708512,-16.218018
-0.023001073,7.250353,8.092051,-0.54938614,-14.311215,-4.5491996
-2.6393905,6.375273,0.7529685,-15.035891,4.598953,-8.348685
2.8630774,13.078316,13.464562,-3.9736886,-8.584039,10.586837
-3.2840166,-4.2622724,2.6546311,-9.696367,-13.717227,-4.4379935
-0.19265668,0.72491664,1.4759084,7.1368437,0.8896278,-22.509064
-10.007009,0.3618033,-5.466349,-15.50618,-8.735621,-7.239523
-13.956668,-1.7749074,19.90309,-13.156364,2.064741,-9.19443
-16.29331,0.63472897,-18.206463,-11.794186,-20.251106,-20.843071
3.875881,1.1743925,9.726249,-14.07149,-3.0819206,-9.365561
-20.279285,-12.581866,-2.3001175,-0.67672867,7.466901,-0.7365916
-11.226027,1.8790983,-10.949368,-12.241887,5.5721006,-13.228439
-14.619228,-9.117344,13.845356,-0.006376553,2.7537744,11.841771
1.750084,12.938382,9.690995,-17.43109,5.047856,-0.09881512
